Afrika	非洲
Sofia	索菲亞
Derval	代尔瓦
Voina tao Chernobyl	切尔诺贝利核事故
Arthur Rimbaud	阿蒂尔·兰波
Tay	糞便
Fory	肛门
Charles Baudelaire	夏尔·波德莱尔
Stendhal	司汤达
Akondro	香蕉
Émile Zola	埃米尔·左拉
Vladimir Vysotsky	弗拉基米尔·维索茨基
Tanàna	城市
Napoleon	拿破仑一世
Kintana	恒星
Masoandro	太阳
Louis Pasteur	路易·巴斯德
Taon-kazavana	光年
Victor Hugo	维克多·雨果
Oseania	大洋洲
Giuseppe Garibaldi	朱塞佩·加里波底
Rafitry ny masoandro	太阳系
Ranomasina Baltika	波罗的海
Nify	牙齒
Wikimedia Commons	维基共享资源
Angela Merkel	安格拉·默克爾
Famoaham-peo	揚聲器
Boky	图书
Oslo	奥斯陆
Katowice	卡托维兹
Luís de Camões	路易·德賈梅士
Lisbon	里斯本
Lionel Messi	利昂内尔·梅西
Nicolas Copernic	尼古拉·哥白尼
Karbônina	碳
Alessandro Del Piero	亚历山德罗·德尔·皮耶罗
Ôksizenina	氧
Fajiry	行星
Cléopâtre VII	克娄巴特拉七世
Mozika	音乐
Lille	里尔
Môsikao	莫斯科
Fiteny italiana	意大利语
Tsady	乍得
Viraty	铝
India	印度
Silisiôma	硅
André-Marie Ampère	安德烈-馬里·安培
Vy	铁
Alessandro Volta	亞歷山德羅·伏打
Samoa	萨摩亚
Nosy Solomona	所罗门群岛
Vanoato	瓦努阿图
Molière	莫里哀
Papoa Ginea Vao	巴布亚新几内亚
William Shakespeare	威廉·莎士比亚
Palao	帛琉
Naoro	諾魯
Mozilla Firefox	Firefox
Angano	童話
Mongolia	蒙古国
Fiji	斐濟
Stevie Wonder	史提夫·汪达
Venezoela	委內瑞拉
Maine	缅因州
Soavaly	马
Fitaovam-piadiana	武器
Biby	动物
Sorinama	蘇利南
Paragoay	巴拉圭
Kanto	艺术
Ekoadôra	厄瓜多尔
Kolombia	哥伦比亚
Jean Racine	让·拉辛
Pierre Corneille	皮埃尔·高乃依
Bolivia	玻利維亞
Zavamaniry	植物
New Hampshire	新罕布什尔州
Léonard de Vinci	列奥纳多·达·芬奇
Masina Kitts sy Nevis	聖克里斯多福與尼維斯
Dario Fo	达里奥·福
Jamaika	牙买加
Massachusetts	麻薩諸塞州
Goatemala	危地马拉
Bahamasy	巴哈马
Connecticut	康乃狄克州
Antigua sy Barbuda	安提瓜和巴布达
Hawaii	夏威夷州
Hôndorasy	洪都拉斯
Ranomasimbe Arktika	北冰洋
Haiti	海地
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu	塔乌玛塔法卡塔尼哈娜可阿乌阿乌欧塔玛提亚坡凯费努啊奇塔娜塔胡
Salvador	萨尔瓦多
Iran	伊朗
Iraka	伊拉克
Alaska	阿拉斯加州
Costa Rica	哥斯达黎加
Israely	以色列
Panama	巴拿马
Yemen	也门
Fiteny poloney	波兰语
Jordania	约旦
Nikaragoa	尼加拉瓜
Florida	佛罗里达州
Arizona	亞利桑那州
Laôsa	老挝
Libana	黎巴嫩
Oregon	俄勒冈州
Maldiva	马尔代夫
Amerika	美洲
Utah	犹他州
Malezia	马来西亚
Mikhail Bulgakov	米哈伊尔·阿法纳西耶维奇·布尔加科夫
Myanmara	缅甸
Nepal	尼泊尔
Omàna	阿曼
Katara	卡塔尔
François Villon	维永
MySQL	MySQL
Arabia Saodita	沙特阿拉伯
Andreï Tarkovski	安德烈·塔尔科夫斯基
Sri Lanka	斯里蘭卡
Joseph Stalin	斯大林
Siria	叙利亚
Plato	柏拉图
Joseph Brodsky	约瑟夫·亚历山德罗维奇·布罗茨基
Taiwan	中華民國
Aristotle	亚里士多德
Tailandy	泰国
Fiarandalamby	鐵路列車
Radiô	无线电
Meryl Streep	梅麗·史翠普
Vietnam	越南
Charlie Chaplin	查理·卓别林
Korea Atsimo	大韩民国
Józef Piłsudski	约瑟夫·毕苏斯基
Ny Simpsons	辛普森一家
Afganistana	阿富汗
J. R. R. Tolkien	J·R·R·托尔金
Volamena	金
Lakandranon'i Suez	苏伊士运河
Franz Kafka	弗朗茨·卡夫卡
Jorge Luis Borges	豪尔赫·路易斯·博尔赫斯
Mali	马里共和国
Socrates	苏格拉底
Angola	安哥拉
Botàna	不丹
Twitter	Twitter
Boroney	文莱
Tanzania	坦桑尼亚
Filipina	菲律宾
Repoblikan'i Afrika Afovoany	中非共和國
Tendrontany Avaratra	北极点
Isaac Newton	艾萨克·牛顿
Albert Einstein	阿尔伯特·爱因斯坦
Pedro I an'i Brazila	佩德罗一世 (巴西)
Togo	多哥
Tonizia	突尼西亞
John Bardeen	约翰·巴丁
Beijing	北京市
Benina	贝宁
Botsoana	波札那
Komaoro	葛摩
Repoblikan'i Kongo	刚果共和国
Repoblika Demokratikan'i Kongo	刚果民主共和国
San Antonio	圣安东尼奥 (得克萨斯州)
Jibotia	吉布提
Ginea Ekoatorialy	赤道几内亚
Eritrea	厄立特里亚
New Delhi	新德里
Joany Paoly II	若望·保祿二世
Fyodor Dostoyevsky	費奧多爾·米哈伊洛維奇·陀思妥耶夫斯基
Tbilisi	第比利斯
Andreï Sakharov	安德烈·德米特里耶维奇·萨哈罗夫
Gabona	加蓬
Mohandas Karamchand Gandhi	圣雄甘地
Gambia	冈比亚
Ginea	几内亚
Ginea-Bissau	幾內亞比索
Côte d'Ivoire	科特迪瓦
Kamerona	喀麦隆
Cabo Verde	佛得角
Lesoto	莱索托
Liberia	利比里亚
Libia	利比亚
Madagasikara	马达加斯加
Malawi	马拉维
Maoritania	毛里塔尼亚
Maorisy	毛里求斯
Marôka	摩洛哥
Mozambika	莫桑比克
Namibia	纳米比亚
France Prešeren	弗兰策·普列舍仁
Nizeria	奈及利亞
Charles Darwin	查尔斯·达尔文
Oganda	乌干达
Roanda	卢旺达
Senegala	塞内加尔
Seychelles	塞舌尔
Carl von Linné	卡尔·林奈
Sierra Leone	塞拉利昂
Somalia	索马里
Jawaharlal Nehru	贾瓦哈拉尔·尼赫鲁
Joliosy Kaisara	尤利烏斯·凱撒
Sodana	苏丹共和国
Soazilandy	斯威士兰
Gujarat	古吉拉特邦
Firenena Mikambana	联合国
Dante Alighieri	但丁·阿利吉耶里
Ahmedabad	艾哈迈达巴德
Jeografia	地理学
Bill Clinton	比尔·克林顿
Indira Gandhi	英迪拉·甘地
Hector Berlioz	埃克托·柏辽兹
Jamnagar	贾姆讷格尔
Mumbai	孟买
Andhra Pradesh	安得拉邦
Arunachal Pradesh	阿鲁纳恰尔邦
Assam	阿萨姆邦
Bihar	比哈尔邦
Michigan	密歇根州
Goa	果阿邦
Maurice Ravel	莫里斯·拉威爾
Puerto Rico	波多黎各
Karnataka	卡纳塔克邦
Kerala	喀拉拉邦
Madhya Pradesh	中央邦
Usain Bolt	尤塞恩·博尔特
Maharashtra	马哈拉施特拉邦
Manipur	曼尼普尔邦
John Lennon	约翰·列侬
Illinois	伊利诺伊州
Dakôta Avaratra	北达科他州
Dakota Atsimo	南达科他州
Montana	蒙大拿州
Wyoming	怀俄明州
Jerusalem	耶路撒冷
Idaho	爱达荷州
Washington	华盛顿州
Bruce Springsteen	布鲁斯·斯普林斯廷
Nevada	内华达州
Ranomasimbe Indiana	印度洋
Ban Ki-moon	潘基文
Kofi Annan	科菲·安南
Kolorado	科羅拉多州
Dag Hammarskjöld	达格·哈马舍尔德
Frédéric Chopin	弗雷德里克·肖邦
Blaise Pascal	布莱兹·帕斯卡
Chicago	芝加哥
The Beatles	披頭四樂隊
Lohataona	春季
Fararano	秋季
Saddam Hussein	萨达姆·侯赛因
Osama Bin Laden	奥萨马·本·拉登
Fiteny espaniola	西班牙语
Johann Sebastian Bach	约翰·塞巴斯蒂安·巴赫
Antonio Vivaldi	安东尼奥·维瓦尔第
Pittsburgh	匹兹堡
Philadelphia	費城
Kolkata	加尔各答
Chennai	金奈
Faritan'i Delhi	德里
Bangalore	班加羅爾
Bengaly andrefana	西孟加拉邦
Hyderabad, India	海得拉巴 (印度)
Voankazo	果实
Vola	貨幣
Virjinia	弗吉尼亚州
West Virginia	西維吉尼亞州
Rhode Island	羅德島州
Maryland	马里兰州
Delaware	特拉华州
Vladimir Lenin	列宁
Ohio	俄亥俄州
Virgil	维吉尔
Nicolas Machiavel	尼可罗·马基亚维利
Pennsylvania	宾夕法尼亚州
Petrarch	弗朗切斯科·彼特拉克
Giovanni Boccaccio	乔万尼·薄伽丘
Luigi Pirandello	路伊吉·皮兰德娄
Uetersen	于特森
Auguste	奥古斯都
Windows	Microsoft Windows
Tiberius	提贝里乌斯
New Jersey	新泽西州
Caligula	卡利古拉
Indiana	印第安纳州
Fiarakodia	汽车
Domitian	图密善
Trajan	圖拉真
Roger Federer	罗杰·费德勒
Georgia (U.S. state)	喬治亞州
Antoninus Pius	安敦宁·毕尤
Marcus Aurelius	馬爾庫斯·奧列里烏斯
Zagreb	萨格勒布
Rajasthan	拉贾斯坦邦
Texas	德克萨斯州
Tamil Nadu	泰米尔纳德邦
North Carolina	北卡罗来纳州
Karôlina Antsimo	南卡罗来纳州
Manille	马尼拉
Ferdinand Marcos	费迪南德·马科斯
Quezon City	奎松市
Le Mans	勒芒
Bordeaux	波尔多
Corazon Aquino	柯拉蓉·艾奎諾
Buenos Aires	布宜諾斯艾利斯
Mexico	墨西哥城
Tokyo	東京都
Barselona	巴塞罗那
Mississippi	密西西比州
Ferdinand Magellan	斐迪南·麥哲倫
Mississipi (renirano)	密西西比河
Uttarakhand	北阿坎德邦
Sikkim	锡金
Tennessee	田纳西州
Richard Wagner	理查德·瓦格纳
Robert Louis Stevenson	羅伯特·路易斯·史蒂文森
Nagpur	那格浦尔
Janis Joplin	珍妮絲·賈普林
Abidjan	阿比让
Astana	阿斯塔納
New Mexico	新墨西哥州
Ramesses II	拉美西斯二世
Athens	雅典
Minnesota	明尼蘇達州
Baghdad	巴格达
Wisconsin	威斯康辛州
Pune	浦那
Cicero	西塞罗
Iowa	艾奥瓦州
Nebraska	內布拉斯加州
Kansas	堪薩斯州
Havana	哈瓦那
Fiteny hindi	印地语
Misoria	密蘇里州
Georg Ohm	格奥尔格·欧姆
Louisiana	路易斯安那州
Luigi Galvani	路易吉·伽伐尼
Nagaland	那加兰邦
Kentucky	肯塔基州
Arkansas	阿肯色州
Neil Armstrong	尼尔·阿姆斯特朗
Fiteny urdu	乌尔都语
Charles Lindbergh	查爾斯·林德伯格
Sigfrid Edström	西格弗里德·埃德斯特隆
Édith Piaf	艾迪特·皮雅芙
Oklahoma	奧克拉荷馬州
Jacques Brel	雅克·布雷尔
Jason Richardson	贾森·理查德森
Ranomasina Avaratra	北海 (大西洋)
Serge Gainsbourg	赛日·甘斯布
Madonna	麥當娜
Kaopenagy	哥本哈根
Stockholm	斯德哥尔摩
Helsinki	赫尔辛基
Reykjavík	雷克雅維克
Tallinn	塔林
Riga	里加
Louis Armstrong	路易斯·阿姆斯特朗
Bratislava	布拉迪斯拉发
Budapest	布达佩斯
Franckfort/Main	美茵河畔法蘭克福
Zinedine Zidane	齐内丁·齐达内
Laurent Blanc	羅倫特·白蘭斯
Katolisisma	天主教
Vaduz	瓦都茲
Baiboly	聖經
Phnom Penh	金边
Hô-Chi-Minh-Ville	胡志明市
Hanoi	河內市
Tena Fiangonan'i Jesoa	真耶稣教会
Fiteny anglisy	英语
Bangkok	曼谷
Andorra la Vella	安道尔城
Taipei	臺北市
Đồng Hới	同海市
Concepción	康塞普西翁 (智利)
Diplaomasia	外交
Memphis Depay	孟菲斯·迪比
Kiev	基輔
Ontario	安大略
Hugo Lloris	雨果·洛里斯
Mathieu Debuchy	马修·德比希
Adil Rami	阿迪尔·拉米
Yohan Cabaye	约翰·卡巴耶
Olivier Giroud	奥利弗·吉鲁
Karim Benzema	卡里姆·本泽马
Florent Malouda	弗洛朗·马卢达
Laurent Koscielny	羅倫·哥斯尼
Patrice Évra	帕特里斯·埃夫拉
Philippe Mexès	菲利普·梅克斯
Franck Ribéry	弗兰克·里贝里
Mathieu Valbuena	馬修·華貝拿
Samir Nasri	萨米尔·纳斯里
Blaise Matuidi	布莱瑟·马图伊迪
Anthony Réveillère	安东尼·雷维耶
Jérémy Ménez	杰雷米·梅內
Steve Mandanda	斯特弗·芒当达
Yann M'Vila	扬·姆维拉
Alou Diarra	阿劳·迪亚拉
Hatem Ben Arfa	哈特姆·本阿尔法
Gaël Clichy	盖尔·克利希
Ottawa	渥太華
Cédric Carrasso	塞德里克·卡拉索
Sidney Govou	西德尼·戈武
Éric Abidal	埃里克·阿比达尔
Djibril Cissé	贾布里勒·西塞
William Gallas	威廉·加拉斯
Bacary Sagna	巴卡雷·萨尼亚
Nicolas Anelka	尼古拉·阿内尔卡
André-Pierre Gignac	安德雷·皮埃爾·吉尼亞克
Sébastien Squillaci	塞巴斯蒂安·斯奎拉奇
Abou Diaby	阿布·迪亚比
Jérémy Toulalan	热雷米·图拉朗
Yerevan	葉里溫
Końskowola	孔斯科沃拉
Dar es Salam	达累斯萨拉姆
Khartoum	喀土穆
2006	2006年
1900	1900年
1901	1901年
François Mitterrand	弗朗索瓦·密特朗
Titus Livius	蒂托·李维
Charles de Gaulle	夏爾·戴高樂
1902	1902年
1903	1903年
1904	1904年
1905	1905年
1907	1907年
1906	1906年
Seneca the Younger	塞內卡
Juan Manuel Fangio	胡安·曼努埃尔·范吉奥
1914	1914年
1915	1915年
1997	1997年
Sakafo	食物
Jacques Chirac	雅克·希拉克
Valéry Giscard d'Estaing	瓦勒里·季斯卡·德斯坦
Halifax	哈利法克斯
Québec (tanàna)	魁北克市
1920	1920年
Tacitus	塔西陀
1921	1921年
1922	1922年
1923	1923年
Lance Armstrong	兰斯·阿姆斯特朗
1924	1924年
Georges Pompidou	乔治·蓬皮杜
6 Janoary	1月6日
9 Janoary	1月9日
10 Janoary	1月10日
11 Janoary	1月11日
13 Janoary	1月13日
15 Janoary	1月15日
Tom Hanks	汤姆·汉克斯
17 Janoary	1月17日
19 Janoary	1月19日
23 Janoary	1月23日
Empira Romana	羅馬帝國
25 Janoary	1月25日
Minsk	明斯克
26 Janoary	1月26日
29 Janoary	1月29日
30 Janoary	1月30日
31 Janoary	1月31日
Pink Floyd	平克·弗洛伊德
Kurów	库鲁夫
5 Febroary	2月5日
7 Febroary	2月7日
8 Febroary	2月8日
9 Febroary	2月9日
10 Febroary	2月10日
Simia	化學
Led Zeppelin	齐柏林飞船 (乐团)
14 Febroary	2月14日
13 Febroary	2月13日
15 Febroary	2月15日
11 Febroary	2月11日
12 Febroary	2月12日
Robin van Persie	罗宾·范佩西
23 Febroary	2月23日
25 Febroary	2月25日
27	27年
12 Desambra	12月12日
Civilization III	文明III
Sid Meier's Civilization IV	文明IV
4 Martsa	3月4日
21 Martsa	3月21日
1982	1982年
Mogadishu	摩加迪休
24 Martsa	3月24日
26 Martsa	3月26日
29 Martsa	3月29日
Sana'a	萨那
1972	1972年
Tarawa	塔拉瓦环礁
Konrad Adenauer	康拉德·阿登纳
Benoît XVI	本篤十六世
Ludwig Erhard	路德维希·艾哈德
Kurt Georg Kiesinger	库尔特·乔治·基辛格
Willy Brandt	维利·勃兰特
Helmut Schmidt	赫尔穆特·施密特
Helmut Kohl	赫尔穆特·科尔
21 Aprily	4月21日
Gerhard Schröder	格哈特·施羅德
1 Mey	5月1日
6 Mey	5月6日
13 Mey	5月13日
Messier 86	M86
22 Mey	5月22日
25 Mey	5月25日
29 Mey	5月29日
31 Mey	5月31日
Matthew Vaughn	马修·沃恩
Paul McCartney	保罗·麦卡特尼
Erich Honecker	埃里希·昂纳克
15 Jiona	6月15日
10 Jiona	6月10日
12 Jiona	6月12日
3 Jiona	6月3日
30 Jiona	6月30日
29 Jiona	6月29日
26 Jiona	6月26日
22 Jiona	6月22日
27 Jiona	6月27日
23 Desambra	12月23日
Emperora Wilhelm II	威廉二世 (德国)
Arnold Schwarzenegger	阿诺·施瓦辛格
12 Jolay	7月12日
10 Jolay	7月10日
9 Jolay	7月9日
14 Jolay	7月14日
8 Jolay	7月8日
7 Jolay	7月7日
6 Jolay	7月6日
4 Jolay	7月4日
1 Jolay	7月1日
11 Jolay	7月11日
Baolina kitra	足球
Louis de Funès	路易·德菲内斯
Jaroslav Hašek	雅洛斯拉夫·哈謝克
12 Aogositra	8月12日
10 Aogositra	8月10日
8 Aogositra	8月8日
9 Aogositra	8月9日
4 Aogositra	8月4日
2 Aogositra	8月2日
3 Aogositra	8月3日
1 Aogositra	8月1日
Brothers Grimm	格林兄弟
IPad	IPad
Madrid	马德里
Elton John	艾爾頓·約翰
16 Aogositra	8月16日
Coca-Cola	可口可乐
25 Aogositra	8月25日
21 Aogositra	8月21日
24 Aogositra	8月24日
Michael Jackson	迈克尔·杰克逊
Gripa	流行性感冒
Bogotá	波哥大
Brasília	巴西利亚
4 Septambra	9月4日
1 Septambra	9月1日
Lima	利馬
25 Septambra	9月25日
Santiago	圣地亚哥-德智利
24 Septambra	9月24日
21 Septambra	9月21日
Quito	基多
Sucre	苏克雷
1 Oktobra	10月1日
15 Oktobra	10月15日
12 Oktobra	10月12日
10 Oktobra	10月10日
14 Oktobra	10月14日
9 Oktobra	10月9日
8 Oktobra	10月8日
13 Oktobra	10月13日
7 Oktobra	10月7日
11 Oktobra	10月11日
6 Oktobra	10月6日
4 Oktobra	10月4日
5 Oktobra	10月5日
3 Oktobra	10月3日
2 Oktobra	10月2日
Asunción	亞松森
22 Oktobra	10月22日
23 Oktobra	10月23日
20 Oktobra	10月20日
21 Oktobra	10月21日
19 Oktobra	10月19日
16 Oktobra	10月16日
9 Novambra	11月9日
6 Novambra	11月6日
4 Novambra	11月4日
3 Novambra	11月3日
2 Novambra	11月2日
1 Novambra	11月1日
Paramaribo	帕拉马里博
22 Novambra	11月22日
Charlemagne	查理大帝
Loire-Atlantique	大西洋卢瓦尔省
San José, Costa Rica	聖荷西 (哥斯大黎加)
Ain	安省 (法國)
Aisne	埃纳省
Vosges	孚日省
San Salvador	聖薩爾瓦多
Allier	阿列省
Canberra	堪培拉
Jura (departemanta)	汝拉省
Hautes-Alpes	上阿尔卑斯省
Alpes-de-Haute-Provence	上普罗旺斯阿尔卑斯省
Alpes-Maritimes	滨海阿尔卑斯省
Archèche	阿尔代什省
Ardennes (departemanta)	阿登省
Jackie Stewart	杰基·斯图尔特
Voankazavana	光子
Aveyron	阿韦龙省
Valesa Atsimo Vaovao	新南威爾士州
Soson-drivotry ny tany	地球大气层
Tegucigalpa	德古斯加巴
Bouches-du-Rhône	罗讷河口省
Cantal	康塔爾省
Charente	夏朗德省
Charente-Maritime	滨海夏朗德省
Cher (departemanta)	谢尔省
Corrèze	科雷兹省
Haute-Corse	上科西嘉
George Orwell	乔治·奥威尔
Corse-du-Sud	南科西嘉
Côte-d'Or	科多尔省
Creuse	克勒兹省
Dordogne	多爾多涅省
Doubs	杜省
Drôme	德龙省
Essonne	埃松省
Eure	厄尔省
Eure-et-Loir	厄尔-卢瓦尔省
Finistère	非尼斯泰尔省
Alpha Lyrae	織女一
Rabat	拉巴特
Algiers	阿爾及爾
Bussières, Loire	比西埃 (卢瓦尔省)
Tripoli	的黎波里
Roanne	罗阿讷
Teheran	德黑兰
Addis Ababa	亚的斯亚贝巴
Jakarta	雅加达
Asmara	阿斯馬拉
N'Djamena	恩賈梅納
Riyadh	利雅德
Dakar	達喀爾
Conakry	科納克里
Bissau	比绍
Sokajy:Endrika	Category:維基百科模板
Praia	培亞
Accra	阿克拉
Damaskosy	大马士革
Yamoussoukro	亚穆苏克罗
Quentin Tarantino	昆汀·塔伦蒂诺
Ouagadougou	瓦加杜古
Freetown	弗里敦
Amazôna	亚马逊河
Abuja	阿布贾
Porto-Novo	波多诺伏
Amman	安曼
Malabo	馬拉博
Libreville	利伯维尔
Masqat	马斯喀特
Kinshasa	金夏沙
Bujumbura	布琼布拉
Nicosia	尼科西亚
Kigali	吉佳利
Doha	多哈
Dodoma	多多马
Nairobi	奈洛比
Lilongwe	利隆圭
Lusaka	路沙卡
Manama	麦纳麦
Maputo	马普托
Kampala	坎帕拉
Luanda	罗安达
Mbabane	墨巴本
Maseru	马塞卢
Antananarivo	塔那那利佛
Kalimantan Andrefana	西加里曼丹省
Oniversite	大學
Gaborone	嘉柏隆里
Harare	哈拉雷
Grace Kelly	格蕾丝·凯利
Port Louis	路易港
São Tomé	圣多美
Windhoek	温得和克
Kinta-mazavabe	超新星
Victoria, Seychelles	维多利亚 (塞舌尔)
Trano	住宅
Hardware	硬件
Aljebra	代数
Renirano	河流
Osasco	奥萨斯库
Eschweiler	埃施韦勒
Seranam-piaramanidina Dong Hoi	同海機場
Habakabaka	外层空间
Michel Platini	米歇尔·普拉蒂尼
Pierre Abélard	皮埃尔·阿伯拉尔
Chrétien de Troyes	克雷蒂安·德·特鲁瓦
Curitiba	庫里奇巴
Faure Gnassingbé	福雷·纳辛贝
Ala	森林
Kapila mangirana	硬盘
Emily Dickinson	埃米莉·狄更生
Franz Beckenbauer	弗朗茨·贝肯鲍尔
Joachim Löw	约阿希姆·勒夫
Soltaniyeh	蘇丹尼耶
Sean Connery	肖恩·康纳利
Anne Frank	安妮·弗蘭克
Ariary	馬達加斯加阿里亞里
Raúl Albiol	魯爾·艾比奧爾
Confucius	孔子
Sarah Bernhardt	莎拉·伯恩哈特
Marlene Dietrich	玛莲娜·迪特里茜
Marilyn Monroe	玛丽莲·梦露
Corbin Bleu	柯賓·布魯
Sokajy:Matematika	Category:数学
Mohamed Morsi	穆罕默德·穆尔西
Barbra Streisand	芭芭拉·史翠珊
Endrika:Country data Iran	Template:Country data Iran
NGC 4594	闊邊帽星系
NGC 4258	M106
Claude Debussy	阿希尔-克洛德·德彪西
Le Corbusier	勒·柯布西耶
NGC 3992	M109 (棒旋星系)
Messier 108	M108
Kota Surakarta	梭罗市
Eugène Kaspersky	尤金·卡巴斯基
Euro	欧元
Ranomasina Mediteranea	地中海
Larry Page	拉里·佩奇
Villars-et-Villenotte	维拉尔和维朗奥特 (科多尔省)
Vonges	翁热 (科多尔省)
Alligny-Cosne	阿利尼科斯恩
Villaines-les-Prévôtes	维莱内莱普雷沃泰 (科多尔省)
Hangzhou	杭州市
Herman Melville	赫尔曼·梅尔维尔
Abel Xavier	阿贝尔·沙维尔
Kristianisma	基督教
