ఆఫ్రికా	非洲
జార్జియా (దేశం)	格鲁吉亚
కజకస్తాన్	哈萨克斯坦
మొనాకో	摩纳哥
వాటికన్ నగరం	梵蒂冈
క్యూబా	古巴
బెలిజ్	伯利兹
ఈఫిల్ టవర్	艾菲爾鐵塔
బార్బడోస్	巴巴多斯
రాసబెర్రి పై	树莓派
వోక్స్ వాగన్	大众汽车
ఇంటెల్ సంస్థ	英特尔
కంప్యూటర్ కీబోర్డ్	电脑键盘
జావా	Java
ఇండోనేషియా	印度尼西亚
మేండెల్‌బ్రాట్ సెట్	曼德博集合
దక్షిణ ఆఫ్రికా	南非
అల్జీరియా	阿尔及利亚
ఉజ్బెకిస్తాన్	乌兹别克斯坦
డ్రోసిరా	茅膏菜屬
తాష్కెంట్	塔什干
నీరు	水
చెక్క	木材
టెలివిజన్	电视
లింగ భేదం	性别
చిలీ	智利
యేసు	耶稣
శారీరక దండన	体罚
గెలీలియో గెలీలి	伽利略·伽利莱
బుధుడు	水星
చరిత్ర	历史
యాపిల్ ఇన్‌కార్పొరేషన్	蘋果公司
శుక్రుడు	金星
భాష	語言
ప్రేమ	愛
నియంతృత్వం	獨裁政體
గేలక్సీ	星系
గురుడు	木星
మిచెల్లీ బచెలేట్	蜜雪兒·巴切萊
పాలపుంత	银河系
మహా విస్ఫోటం	大爆炸
యురేనస్	天王星
ఆంగ్ల వికీపీడియా	英语维基百科
నెప్ట్యూన్	海王星
ఖగోళ శాస్త్రము	天文學
సింగపూరు	新加坡
విజ్ఞానశాస్త్రం	科学
ప్లూటో	冥王星
మాంట్రియల్	蒙特利尔
కాలము	未来
మరియమ్	馬利亞 (耶穌的母親)
ఆటలు	体育运动
ఎడాల్ఫ్ హిట్లర్	阿道夫·希特勒
ఫేస్‌బుక్	Facebook
గూగుల్+	Google+
వికీలీక్స్	維基解密
జూలియన్ అసాంజే	朱利安·阿桑奇
మొదటి ప్రపంచ యుద్ధం	第一次世界大战
రెండవ ప్రపంచ యుద్ధం	第二次世界大战
కొలోన్	科隆
లంచం	贪污
వికీబుక్స్	維基教科書
వికీకోట్	维基语录
ఉబుంటు	Ubuntu
లినక్స్	Linux
బాబ్ డైలాన్	鲍勃·迪伦
గణితము	数学
లాటిన్	拉丁语
బహ్రయిన్	巴林
ఆర్మేనియా	亞美尼亞
జెన్నా జేమ్సన్	珍娜·詹姆森
సెర్బియా	塞尔维亚
చంద్రుడు	月球
ఇస్తాంబుల్	伊斯坦堡
ఆస్ట్రేలియా	澳大利亚
కార్ల్ సాగాన్	卡尔·萨根
భౌతిక శాస్త్రము	物理学
అర్జెంటీనా	阿根廷
పెరూ	秘鲁
జీవ శాస్త్రము	生物学
గుర్తించబడని ఎగురుతున్న వస్తువు	不明飞行物
ఉత్తర కొరియా	朝鲜民主主义人民共和国
కంబోడియా	柬埔寨
క్యూపర్ బెల్ట్	柯伊伯带
ఖోరాన్	古兰经
రాక్షసబల్లి	恐龙
జంతుశాస్త్రం	动物学
ఇస్లాం మతం	伊斯兰教
వృక్షశాస్త్రం	植物学
లెక్ వలీసా	莱赫·瓦文萨
చక్రం	輪
శాంతి	和平
బ్రిటానికా విజ్ఞాన సర్వస్వము	大英百科全书
ఐరోపా సమాఖ్య	欧洲联盟
వరల్డ్ వైడ్ వెబ్	万维网
స్త్రీ	女性
కవి	诗歌
కంప్యూటర్ వైరస్	计算机病毒
నవ్వు	微笑
హిరోషిమా మరియు నాగసాకిలపై అణ్వస్త్ర దాడులు	廣島與長崎原子彈爆炸
మిలన్	米蘭
మిత్రుడు	友情
మలము	糞便
గుదము	肛门
నిమ్మ	柠檬
అరటి	香蕉
పుష్పము	花
గూగోల్	古高爾
ఎవరెస్టు పర్వతం	珠穆朗瑪峰
శరీర నిర్మాణ శాస్త్రము	解剖学
నగరము	城市
నెపోలియన్	拿破仑一世
శరీరశాస్త్రం	生理学
నక్షత్రము (ఖగోళశాస్త్రం)	恒星
సూర్యుడు	太阳
ఆకాశం	天空
లూయీ పాశ్చర్	路易·巴斯德
కాంతి సంవత్సరం	光年
గ్రామం	村
విక్టర్ హ్యూగో	维克多·雨果
ఓషియానియా	大洋洲
గిసేప్పి గారిబాల్డి	朱塞佩·加里波底
సౌరమండలము	太阳系
హైడ్రోజన్	氢
హీలియం	氦
నరకం	地獄
వికీపీడియా:వికీమీడియా కామన్స్	维基共享资源
లిథియం	锂
బెరీలియం	铍
పుస్తకము	图书
తూర్పు తైమూర్	东帝汶
రాత్రి	晚上
సంవత్సరము	年
కృష్ణబిలం	黑洞
సెరిస్ (మరుగుజ్జు గ్రహం)	穀神星
లిస్బన్	里斯本
ఎరిస్ (మరుగుజ్జు గ్రహం)	阋神星
దుబాయ్	杜拜
బోరాన్	硼
నికోలాస్ కోపర్నికస్	尼古拉·哥白尼
కార్బన్	碳
నత్రజని	氮
ఆక్సిజన్	氧
ఫుట్‌బాల్ క్లబ్ ఇంటర్నేజనలే మిలనో	国际米兰足球俱乐部
గ్రహం	行星
క్లియోపాత్రా	克娄巴特拉七世
భారతీయ సంగీతము	音乐
వెనిస్	威尼斯
ఉష్ణమాపకం	溫度計
మాస్కో	莫斯科
ఫ్లోరిన్	氟
చువావా (కుక్క)	吉娃娃
నియాన్	氖
సెయింట్ పీటర్స్‌బర్గ్	圣彼得堡
చాద్	乍得
సోడియం	钠
ఉత్తరం	北
మెగ్నీషియం	镁
అల్యూమినియం	铝
న్యూజీలాండ్	新西兰
దక్షిణం	南
భారత దేశము	印度
సిలికాన్	硅
భాస్వరము	磷
ఇనుము	铁
పడమర	西
అలెస్సాండ్రో వోల్టా	亞歷山德羅·伏打
సల్ఫర్	硫
సమోవా	萨摩亚
తూర్పు	東
సోలమన్ దీవులు	所罗门群岛
వనాటు	瓦努阿图
క్లోరిన్	氯
విలియం షేక్‌స్పియర్	威廉·莎士比亚
ఫైర్‌ఫాక్స్	Firefox
పొటాషియం	钾
కాల్షియమ్	钙
సీసము (మూలకము)	铅
కిరిబటి	基里巴斯
మంగోలియా	蒙古国
ఫిజీ	斐濟
స్కాండియం	钪
టైటానియం	钛
వెనుజులా	委內瑞拉
చదరంగం (ఆట)	國際象棋
చెంఘీజ్ ఖాన్	成吉思汗
వెనేడియం	钒
మెయిన్	缅因州
క్రోమియం	铬
గుర్రము	马
ఆయుధం	武器
జంతువు	动物
సురినామ్	蘇利南
మాంగనీస్	锰
గయానా	圭亚那
ఈక్వడార్	厄瓜多尔
కొలంబియా	哥伦比亚
కోబాల్ట్	钴
నికెల్	镍
బౌద్ధ మతము	佛教
బొలీవియా	玻利維亞
ఓస్మియం	锇
రాగి	铜
ట్రినిడాడ్ మరియు టొబాగో	千里達及托巴哥
మొక్క	植物
తుత్తునాగము	锌
న్యూహాంప్‌షైర్	新罕布什尔州
లియొనార్డో డావిన్సి	列奥纳多·达·芬奇
శిలీంధ్రం	真菌
జమైకా	牙买加
మసాచూసెట్స్	麻薩諸塞州
గూగుల్ క్రోమ్	Google Chrome
బహామాస్	巴哈马
కనెక్టికట్	康乃狄克州
కోడి	鸡
ఆంటిగ్వా మరియు బార్బుడా	安提瓜和巴布达
హవాయి	夏威夷州
హోండురాస్	洪都拉斯
జెర్సీ	澤西
డొమెనికన్ రిపబ్లిక్	多明尼加
పంది	家豬
ఆర్క్‌టిక్ మహాసముద్రం	北冰洋
ఇరాన్	伊朗
ఇరాక్	伊拉克
అలాస్కా	阿拉斯加州
వివేకం	智慧
కోస్టారీకా	哥斯达黎加
ఇజ్రాయిల్	以色列
పనామా	巴拿马
యెమన్	也门
వైరస్	病毒
జోర్డాన్	约旦
ఫ్లోరిడా	佛罗里达州
కిర్గిజిస్తాన్	吉尔吉斯斯坦
ఆరిజోనా	亞利桑那州
కువైట్	科威特
లావోస్	老挝
లెబనాన్	黎巴嫩
ఓరెగాన్	俄勒冈州
మాల్దీవులు	马尔代夫
యూటా	犹他州
పశువు	家牛
మలేషియా	马来西亚
మయన్మార్	缅甸
నేపాల్	尼泊尔
ఒమన్	阿曼
పాకిస్తాన్	巴基斯坦
‌జేమ్స్ బాండ్	占士邦
కతర్	卡塔尔
టెన్నిస్	网球
సౌదీ అరేబియా	沙特阿拉伯
శ్రీలంక	斯里蘭卡
స్టాలిన్	斯大林
బార్‌కోడ్	条形码
సిరియా	叙利亚
ప్లేటో	柏拉图
గాలియం	镓
తజికిస్తాన్	塔吉克斯坦
తైవాన్	中華民國
యూ ట్యూబ్	YouTube
జెర్మేనియం	锗
అరిస్టాటిల్	亚里士多德
థాయిలాండ్	泰国
రైలు	鐵路列車
ఆర్సెనిక్	砷
రేడియో	无线电
తుర్కమేనిస్తాన్	土库曼斯坦
సెలీనియం	硒
యునైటెడ్ అరబ్ ఎమిరేట్స్	阿拉伯联合酋长国
బ్రోమిన్	溴
వియత్నాం	越南
చార్లీ చాప్లిన్	查理·卓别林
దక్షిణ కొరియా	大韩民国
ఆఫ్ఘనిస్తాన్	阿富汗
బంగారం	金
సూయజ్ కాలువ	苏伊士运河
శాస్త్రవేత్త	科学家
బంగ్లాదేశ్	孟加拉国
ఫ్రాంజ్ కాఫ్కా	弗朗茨·卡夫卡
జార్జ్ లూయిస్ బోర్గర్స్	豪尔赫·路易斯·博尔赫斯
సోక్రటీసు	苏格拉底
అంగోలా	安哥拉
భూటాన్	不丹
ట్విట్టర్	Twitter
బ్రూనై	文莱
టాంజానియా	坦桑尼亚
ఫిలిప్పీన్స్	菲律宾
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	中非共和國
ఐజాక్ న్యూటన్	艾萨克·牛顿
ఆల్బర్ట్ ఐన్‌స్టీన్	阿尔伯特·爱因斯坦
స్ట్రాన్షియం	锶
పసుపు (రంగు)	黄色
ట్యునీషియా	突尼西亞
జాంబియా	赞比亚
జింబాబ్వే	辛巴威
బీజింగ్	北京市
దక్షిణ సూడాన్	南蘇丹
బెనిన్	贝宁
బోత్సువానా	波札那
బర్కీనా ఫాసో	布吉納法索
బురుండి	蒲隆地
కొమొరోస్	葛摩
కాంగో రిపబ్లిక్	刚果共和国
శాన్ అంటోనియో	圣安东尼奥 (得克萨斯州)
జిబౌటి	吉布提
బవేరియా	巴伐利亚
ఎరిత్రియా	厄立特里亚
క్రొత్త ఢిల్లీ	新德里
దాస్తొయెవ్‌స్కీ	費奧多爾·米哈伊洛維奇·陀思妥耶夫斯基
శిశువు	嬰兒
గబాన్	加蓬
మహాత్మా గాంధీ	圣雄甘地
కామిక్స్	漫画
గాంబియా	冈比亚
కోటె డి ఐవొరి	科特迪瓦
కామెరూన్	喀麦隆
కేప్ వర్దె	佛得角
లిబియా	利比亚
మడగాస్కర్	马达加斯加
మౌరిటానియ	毛里塔尼亚
మారిషస్	毛里求斯
మొరాకో	摩洛哥
మొజాంబిక్	莫桑比克
నమీబియా	纳米比亚
నైజర్	尼日尔
నైజీరియా	奈及利亞
చార్లెస్ డార్విన్	查尔斯·达尔文
ఉగాండా	乌干达
రువాండా	卢旺达
సెనెగల్	塞内加尔
కరోలస్ లిన్నేయస్	卡尔·林奈
సొమాలియా	索马里
నియోబియం	铌
జవహర్‌లాల్ నెహ్రూ	贾瓦哈拉尔·尼赫鲁
జూలియస్ సీజర్	尤利烏斯·凱撒
సూడాన్	苏丹共和国
ఇంద్రధనస్సు	彩虹
టెక్నీషియం	锝
నరేంద్ర మోడి	纳伦德拉·莫迪
రోగ నిరోధక వ్యవస్థ	免疫系统
గుజరాత్	古吉拉特邦
పరిణామం	演化
ఐక్యరాజ్య సమితి	联合国
భూగోళ శాస్త్రము	地理学
గుండె	心臟
మెదడు	脑
చర్మము	皮膚
రంగు	颜色
నామవాచకం	名詞
నీలము	藍色
వెండి	銀
కాడ్మియం	镉
తగరము	锡
అయోడిన్	碘
సీసియం	铯
విద్యుద్భరితము	電荷
బిల్ క్లింటన్	比尔·克林顿
ఇందిరా గాంధీ	英迪拉·甘地
ముంబై	孟买
ఆంధ్ర ప్రదేశ్	安得拉邦
అరుణాచల్ ప్రదేశ్	阿鲁纳恰尔邦
అసోం	阿萨姆邦
బీహార్	比哈尔邦
మిషిగన్	密歇根州
ఛత్తీస్‌గఢ్	恰蒂斯加尔邦
గోవా	果阿邦
హర్యానా	哈里亚纳邦
హిమాచల్ ప్రదేశ్	喜马偕尔邦
జమ్మూ కాశ్మీరు	查谟-克什米尔邦
ఫ్యూర్టో రికో	波多黎各
జార్ఖండ్	贾坎德邦
కర్ణాటక	卡纳塔克邦
కేరళ	喀拉拉邦
మధ్య ప్రదేశ్	中央邦
ఉసేన్ బోల్ట్	尤塞恩·博尔特
మహారాష్ట్ర	马哈拉施特拉邦
మణిపూర్	曼尼普尔邦
మేఘాలయ	梅加拉亚邦
ఇల్లినాయిస్	伊利诺伊州
నార్త్ డకోటా	北达科他州
సౌత్ డకోటా	南达科他州
మొంటానా	蒙大拿州
వయోమింగ్	怀俄明州
జెరూసలేం	耶路撒冷
ఐడహొ	爱达荷州
బ్రూస్ స్ప్రింగ్‌స్టీన్	布鲁斯·斯普林斯廷
నెవాడా	内华达州
హిందూ మహాసముద్రం	印度洋
కోఫీ అన్నన్	科菲·安南
బౌత్రోస్ బౌత్రోస్ ఘలీ	布特羅斯·布特羅斯-蓋里
జేవియర్ పెరేజ్ డిక్యుల్లర్	佩雷斯·德奎利亚尔
కొలరాడో	科羅拉多州
యూ థాంట్	吴丹
కొలరాడో నది	科羅拉多河
ట్రిగ్వేలీ	特吕格韦·赖伊
వర్గం:వర్గాలు	Category:頁面分類
ఆల్ప్స్ పర్వతాలు	阿尔卑斯山
బ్లేజ్ పాస్కల్	布莱兹·帕斯卡
డార్ట్ ముండ్	多特蒙德
చికాగో	芝加哥
ద బీటిల్స్	披頭四樂隊
చలికాలం	冬季
వేసవి కాలం	夏季
విషువత్తు	晝夜平分點
సద్దామ్ హుసేన్	萨达姆·侯赛因
ఒసామా బిన్ లాదెన్	奥萨马·本·拉登
స్పానిష్ భాష	西班牙语
పిట్స్‌బర్గ్	匹兹堡
ఫిలడెల్ఫియా,పెన్సిల్వేనియా	費城
కోల్‌కత	加尔各答
చెన్నై	金奈
ఢిల్లీ	德里
ఢాకా	达卡
బెంగుళూరు	班加羅爾
పశ్చిమ బెంగాల్	西孟加拉邦
సాలెపురుగు	蜘蛛
ఆర్థ్రోపోడా	节肢动物
హైదరాబాదు	海得拉巴 (印度)
ఇస్లామాబాద్	伊斯兰堡
త్రిపుర	特里普拉邦
పండు	果实
కోతి	猴
ధనం	貨幣
వర్జీనియా	弗吉尼亚州
పశ్చిమ వర్జీనియా	西維吉尼亞州
న్యూయార్క్ రాష్ట్రం	纽约州
రోడ్ ఐలండ్	羅德島州
కీటకము	昆虫
మేరీల్యాండ్	马里兰州
డెలావేర్	特拉华州
లెనిన్	列宁
ఒహాయో	俄亥俄州
మాకియవెలీ	尼可罗·马基亚维利
పెన్సిల్వేనియా	宾夕法尼亚州
ఊఎతెర్సెన్	于特森
ఆగస్టస్	奥古斯都
విండోస్	Microsoft Windows
న్యూజెర్సీ	新泽西州
నీరో	尼禄
ఇండియానా	印第安纳州
నోకియా	诺基亚
కారు	汽车
రోజర్ ఫెడరర్	罗杰·费德勒
జార్జియా	喬治亞州
కెడిఇ(KDE)	KDE
రాజస్థాన్	拉贾斯坦邦
టెక్సస్	德克萨斯州
తమిళనాడు	泰米尔纳德邦
నార్త్ కెరొలినా	北卡罗来纳州
మైదాన హాకీ	曲棍球
సౌత్ కెరొలినా	南卡罗来纳州
సిసిలీ	西西里岛
మనీలా	马尼拉
సార్డీనియా	撒丁岛
క్రోన్స్ వ్యాధి	克隆氏症
టోక్యో	東京都
అనాస	菠蘿
మిసిసిపీ	密西西比州
మిసిసిపీ నది	密西西比河
ఉత్తర ప్రదేశ్	北方邦
ఉత్తరాఖండ్	北阿坎德邦
ఈత కొలను	游泳池
మిజోరాం	米佐拉姆邦
సిక్కిం	锡金
టేనస్సీ	田纳西州
నాగపూర్	那格浦尔
న్యూ మెక్సికో	新墨西哥州
ఏథెన్స్	雅典
మిన్నసోటా	明尼蘇達州
విస్కాన్సిన్	威斯康辛州
పూణే	浦那
అయోవా	艾奥瓦州
నెబ్రాస్కా	內布拉斯加州
కాన్సాస్	堪薩斯州
హిందీ భాష	印地语
మరాఠీ భాష	马拉地语
పొగ చుట్ట	雪茄
సిగరెట్	香煙
వినాయకుడు	象头神
మిస్సోరీ	密蘇里州
లూసియానా	路易斯安那州
నాగాలాండ్	那加兰邦
కెంటకీ	肯塔基州
ఆర్కాన్సా	阿肯色州
నీల్ ఆర్మ్‌స్ట్రాంగ్	尼尔·阿姆斯特朗
ఉర్దూ భాష	乌尔都语
ఓక్లహోమా	奧克拉荷馬州
డానుబే	多瑙河
వాలీబాల్	排球
వియన్నా	維也納
కోపెన్‌హాగన్	哥本哈根
స్టాక్‌హోమ్	斯德哥尔摩
కొచ్చి	柯枝
బైబిల్	聖經
నిజ ఏసుక్రీస్తు మండలి	真耶稣教会
ఆంగ్ల భాష	英语
బ్యాంకాక్	曼谷
క్యివ్	基輔
అంటారియో	安大略
అటావా	渥太華
కొన్‌స్కొవొలా	孔斯科沃拉
ఫార్ములా వన్	一级方程式赛车
2000	2000年
2003	2003年
2002	2002年
2001	2001年
2012	2012年
2011	2011年
2010	2010年
2009	2009年
కార్బన్ డయాక్సైడ్	二氧化碳
2013	2013年
2008	2008年
జావాస్క్రిప్టు	JavaScript
2004	2004年
2005	2005年
2006	2006年
2007	2007年
లినక్స్ మింట్	Linux Mint
1900	1900年
1901	1901年
1902	1902年
ఫ్లోరెన్స్	佛罗伦萨
1903	1903年
1904	1904年
1905	1905年
1907	1907年
1906	1906年
హెచ్‌టిఎమ్ఎల్5(HTML5)	HTML5
1908	1908年
1909	1909年
1992	1992年
1991	1991年
1990	1990年
1993	1993年
1994	1994年
1995	1995年
1996	1996年
1910	1910年
1911	1911年
1912	1912年
1913	1913年
1914	1914年
1915	1915年
1916	1916年
1997	1997年
1998	1998年
1999	1999年
1917	1917年
1918	1918年
ఆహారం	食物
పాము	蛇
XML	XML
నోటితో రతి	口交
న్యూట్రినో	中微子
సన్ గోకు (డ్రాగన్ బాల్)	孙悟空 (七龙珠)
జనవరి 1	1月1日
జనవరి 2	1月2日
సుభాష్ చంద్రబోస్	苏巴斯·钱德拉·鲍斯
1920	1920年
జనవరి 3	1月3日
1919	1919年
1921	1921年
1922	1922年
జనవరి 4	1月4日
1923	1923年
1924	1924年
ఆస్టెరాయిడ్ పట్టీ	主小行星帶
గిఫ్	GIF
మరుగుజ్జు గ్రహం	矮行星
జనవరి 5	1月5日
జనవరి 6	1月6日
ఎలక్ట్రాన్	电子
జనవరి 7	1月7日
జనవరి 8	1月8日
జనవరి 9	1月9日
జనవరి 10	1月10日
జనవరి 11	1月11日
జనవరి 12	1月12日
జనవరి 13	1月13日
బర్మింగ్‌హామ్	伯明翰
జనవరి 14	1月14日
జనవరి 15	1月15日
జనవరి 16	1月16日
జనవరి 17	1月17日
జనవరి 18	1月18日
జనవరి 19	1月19日
జనవరి 20	1月20日
పారిశ్రామిక విప్లవం	工业革命
జనవరి 21	1月21日
జనవరి 22	1月22日
జనవరి 23	1月23日
జనవరి 24	1月24日
జనవరి 25	1月25日
జనవరి 26	1月26日
మైక్రోసాఫ్ట్	微软
జనవరి 27	1月27日
జనవరి 28	1月28日
జనవరి 29	1月29日
జనవరి 30	1月30日
జనవరి 31	1月31日
ప్రోటాన్	質子
డిసెంబర్ 2	12月2日
డిసెంబర్ 1	12月1日
డిసెంబర్ 3	12月3日
డిసెంబర్ 7	12月7日
డిసెంబర్ 5	12月5日
డిసెంబర్ 8	12月8日
డిసెంబర్ 10	12月10日
డిసెంబర్ 6	12月6日
డిసెంబర్ 9	12月9日
పింక్ ఫ్లాయిడ్	平克·弗洛伊德
డిసెంబర్ 4	12月4日
ఫిబ్రవరి 1	2月1日
ఫిబ్రవరి 2	2月2日
ఫిబ్రవరి 3	2月3日
కురోవ్	库鲁夫
ఫిబ్రవరి 4	2月4日
ఫిబ్రవరి 5	2月5日
ఫిబ్రవరి 6	2月6日
ఫిబ్రవరి 7	2月7日
ఫిబ్రవరి 8	2月8日
ఫిబ్రవరి 9	2月9日
ఫిబ్రవరి 10	2月10日
రసాయన శాస్త్రము	化學
ఫిబ్రవరి 14	2月14日
ఫిబ్రవరి 13	2月13日
ఫిబ్రవరి 15	2月15日
ఫిబ్రవరి 11	2月11日
ఫిబ్రవరి 12	2月12日
ఫిబ్రవరి 19	2月19日
ఫిబ్రవరి 17	2月17日
ఫిబ్రవరి 16	2月16日
ఫిబ్రవరి 18	2月18日
ఫిబ్రవరి 20	2月20日
12 యాంగ్రీ మెన్	十二怒漢 (電影)
న్యూట్రాన్	中子
69 భంగిమ	69式
ఫిబ్రవరి 21	2月21日
ఫిబ్రవరి 22	2月22日
ఫిబ్రవరి 23	2月23日
ఫిబ్రవరి 24	2月24日
ఫిబ్రవరి 25	2月25日
ఫిబ్రవరి 26	2月26日
ఫిబ్రవరి 27	2月27日
ఫిబ్రవరి 28	2月28日
డిసెంబర్ 11	12月11日
ఫిబ్రవరి 29	2月29日
డిసెంబర్ 12	12月12日
విజువల్ బేసిక్	Visual Basic
డిసెంబర్ 13	12月13日
డిసెంబర్ 14	12月14日
డిసెంబర్ 15	12月15日
మార్చి 2	3月2日
మార్చి 3	3月3日
మార్చి 5	3月5日
మార్చి 1	3月1日
మార్చి 7	3月7日
మార్చి 8	3月8日
మార్చి 4	3月4日
మార్చి 10	3月10日
మార్చి 11	3月11日
మార్చి 6	3月6日
మార్చి 13	3月13日
మార్చి 9	3月9日
మార్చి 12	3月12日
మార్చి 15	3月15日
మార్చి 14	3月14日
డిసెంబర్ 16	12月16日
డిసెంబర్ 17	12月17日
మార్చి 16	3月16日
మార్చి 17	3月17日
మార్చి 18	3月18日
మార్చి 19	3月19日
1989	1989年
1988	1988年
మార్చి 20	3月20日
1987	1987年
1986	1986年
1985	1985年
1984	1984年
మార్చి 21	3月21日
1983	1983年
మార్చి 22	3月22日
1982	1982年
1981	1981年
డిసెంబర్ 18	12月18日
1980	1980年
మార్చి 23	3月23日
డిసెంబర్ 19	12月19日
మార్చి 24	3月24日
మార్చి 25	3月25日
డిసెంబర్ 20	12月20日
మార్చి 26	3月26日
మార్చి 27	3月27日
మార్చి 28	3月28日
మార్చి 29	3月29日
మార్చి 30	3月30日
మార్చి 31	3月31日
1970	1970年
1971	1971年
1972	1972年
1973	1973年
1974	1974年
1975	1975年
1976	1976年
1977	1977年
1978	1978年
1979	1979年
1969	1969年
ఏప్రిల్ 15	4月15日
ఏప్రిల్ 13	4月13日
ఏప్రిల్ 12	4月12日
ఏప్రిల్ 14	4月14日
ఏప్రిల్ 11	4月11日
ఏప్రిల్ 10	4月10日
ఏప్రిల్ 8	4月8日
ఏప్రిల్ 9	4月9日
ఏప్రిల్ 7	4月7日
ఏప్రిల్ 6	4月6日
ఏప్రిల్ 5	4月5日
ఏప్రిల్ 4	4月4日
ఏప్రిల్ 3	4月3日
ఏప్రిల్ 1	4月1日
ఏప్రిల్ 2	4月2日
హబుల్ టెలీస్కోపు	哈勃空间望远镜
ఏప్రిల్ 16	4月16日
ఏప్రిల్ 17	4月17日
ఏప్రిల్ 18	4月18日
ఏప్రిల్ 19	4月19日
ఏప్రిల్ 20	4月20日
ఏప్రిల్ 21	4月21日
ఏప్రిల్ 22	4月22日
ఏప్రిల్ 23	4月23日
